state,district,year,season,crop,area,production,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2000,Kharif,Arecanut,1254,2000,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2000,Kharif,Other Kharifpulses,2,1,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2000,Kharif,Rice,102,321,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Banana,176,641,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Cashewnut,720,165,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Coconut,18168,65100000,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Dry ginger,36,100,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Sugarcane,1,2,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Sweet potato,5,15,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2000,Whole Year,Tapioca,40,169,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2001,Kharif,Arecanut,1254,2061,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2001,Kharif,Other Kharifpulses,2,1,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2001,Kharif,Rice,83,300,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2001,Whole Year,Cashewnut,719,192,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2001,Whole Year,Coconut,18190,64430000,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2001,Whole Year,Dry ginger,46,100,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2001,Whole Year,Sugarcane,1,1,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2001,Whole Year,Sweet potato,11,33,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2002,Kharif,Rice,189.2,510.84,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2002,Whole Year,Arecanut,1258,2083,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2002,Whole Year,Banana,213,1278,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2002,Whole Year,Black pepper,63,13.5,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2002,Whole Year,Cashewnut,719,208,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2002,Whole Year,Coconut,18240,67490000,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2002,Whole Year,Dry chillies,413,28.8,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2002,Whole Year,Dry ginger,47.3,133,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2002,Whole Year,Sugarcane,5,40,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2003,Kharif,Rice,52,90.17,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2003,Whole Year,Arecanut,1261,1525,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2003,Whole Year,Banana,266,1763,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2003,Whole Year,Black pepper,75.5,15.86,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2003,Whole Year,Cashewnut,717,208.5,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2003,Whole Year,Coconut,18284.74,68580000,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2003,Whole Year,Dry chillies,60,102,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2003,Whole Year,Dry ginger,102,326.4,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2003,Whole Year,other oilseeds,4.2,0.3,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2004,Kharif,Rice,52.94,72.57,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2004,Whole Year,Arecanut,1264.7,805.85,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2004,Whole Year,Banana,66.42,404.12,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2004,Whole Year,Black pepper,85,15.86,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2004,Whole Year,Cashewnut,683.5,197.9,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2004,Whole Year,Coconut,18394.7,52380000,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2004,Whole Year,Dry chillies,60,145.2,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2004,Whole Year,Dry ginger,118,366,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2004,Whole Year,other oilseeds,1,0.11,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2005,Kharif,Rice,2.09,12.06,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2005,Whole Year,Arecanut,795.67,0,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2005,Whole Year,Banana,22,582,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2005,Whole Year,Black pepper,41,0.1,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2005,Whole Year,Cashewnut,450,55.8,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2005,Whole Year,Coconut,13876.57,52030000,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2005,Whole Year,Dry chillies,17,0,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2005,Whole Year,Turmeric,10,70,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Arecanut,896,477.6,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Banana,198,976,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Black pepper,22.16,0.68,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Cashewnut,450,85.13,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Coconut,14358,59370000,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Dry chillies,3,9,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Dry ginger,6,21,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Sugarcane,0.2,0.5,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Sweet potato,18,86,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Tapioca,52.03,450,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2006,Whole Year,Turmeric,2.5,1.03,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Autumn,Rice,3.5,10,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Autumn,Sugarcane,13.4,41.75,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Rabi,Arecanut,944,1610,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Rabi,Black pepper,23,8.5,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Rabi,Cashewnut,1000.5,260.5,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Rabi,Dry chillies,12,25,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Rabi,Dry ginger,7,9.64,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Rabi,Maize,3.84,18.22,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Rabi,Moong(Green Gram),1.5,1.1,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Rabi,Sweet potato,22,208,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Rabi,Turmeric,2,0.5,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Rabi,Urad,1.5,1.16,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Whole Year,Banana,593,3425,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Whole Year,Coconut,14560,71300000,,,,,,,,,
Andaman and Nicobar Islands,Nicobars,2010,Whole Year,Tapioca,69,575,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Kharif,Arecanut,3100,5200,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Kharif,Other Kharifpulses,668,448,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Kharif,Rice,10779,31863,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Whole Year,Banana,1531,12073,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Whole Year,Cashewnut,80,54,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Whole Year,Coconut,6992,23900000,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Whole Year,Dry ginger,352,1120,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Whole Year,other oilseeds,133,55,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Whole Year,Sugarcane,141,3736,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Whole Year,Sweet potato,78,843,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2000,Whole Year,Tapioca,160,2108,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2001,Kharif,Arecanut,3100,5239,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2001,Kharif,Other Kharifpulses,418,199,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2001,Kharif,Rice,9718,27033,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2001,Whole Year,Cashewnut,81,33,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2001,Whole Year,Coconut,7015,25250000,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2001,Whole Year,Dry ginger,344,1124,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2001,Whole Year,Sugarcane,81,2379,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2001,Whole Year,Sweet potato,100,5,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Kharif,Rice,6854.3,18995.62,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Arecanut,1160,3011.7,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Banana,957.57,8582,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Black pepper,175,191.14,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Cashewnut,40.5,44,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Coconut,3575,15400000,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Dry chillies,235.72,824.3,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Dry ginger,98.66,929,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,other oilseeds,35.62,21.4,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Sugarcane,71.3,1500,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Sweet potato,30,240,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Tapioca,255,1420,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2006,Whole Year,Turmeric,68,408,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Autumn,Rice,6791,20118,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Autumn,Sugarcane,73.33,889.2,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Arecanut,1296,2290,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Arhar/Tur,294.5,90.8,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Black pepper,168,13.5,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Cashewnut,84.5,39,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Dry chillies,254,402,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Dry ginger,110,1011.84,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Groundnut,4.75,6.8,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Maize,86.7,96.4,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Moong(Green Gram),1168.6,556.55,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Sunflower,2.9,1.9,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Sweet potato,109,480,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Turmeric,68,376.5,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi,Urad,1059.5,458.79,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Whole Year,Banana,657,7968,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Whole Year,Coconut,3668,12700000,,,,,,,,,
Andaman and Nicobar Islands,North And Middle Andaman,2010,Whole Year,Tapioca,186.5,1355,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2002,Kharif,Rice,10695.8,31600.82,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2002,Whole Year,Arecanut,3105,5267,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2002,Whole Year,Banana,1524,10882,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2002,Whole Year,Black pepper,487,102.5,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2002,Whole Year,Cashewnut,81,24,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2002,Whole Year,Coconut,7060,26830000,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2002,Whole Year,Dry chillies,239,20.9,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2002,Whole Year,Dry ginger,352,1145,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2002,Whole Year,other oilseeds,85.1,40.31,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2002,Whole Year,Sugarcane,455,13760,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2003,Kharif,Rice,10509.37,30760.7,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2003,Whole Year,Arecanut,3118,5182,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2003,Whole Year,Banana,1530,11558,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2003,Whole Year,Black pepper,497,104.37,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2003,Whole Year,Cashewnut,116.5,26.14,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2003,Whole Year,Coconut,7110,26660000,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2003,Whole Year,Dry chillies,340,578,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2003,Whole Year,Dry ginger,406,1299.2,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2003,Whole Year,other oilseeds,82.09,35.51,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2003,Whole Year,Sugarcane,268,2879.52,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2004,Kharif,Rice,10681.98,29119.66,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2004,Whole Year,Arecanut,3160.67,3975.2,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2004,Whole Year,Banana,1912.1,17374.4,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2004,Whole Year,Black pepper,570,104.36,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2004,Whole Year,Cashewnut,116.5,25.1,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2004,Whole Year,Coconut,7156.7,34750000,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2004,Whole Year,Dry chillies,340,822.8,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2004,Whole Year,Dry ginger,410,1462,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2004,Whole Year,other oilseeds,89.3,46.5,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2004,Whole Year,Sugarcane,145.26,1560,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Kharif,Rice,8683.38,25870.98,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Arecanut,3250.78,3058.46,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Banana,1656.8,10251.13,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Black pepper,656.45,35.95,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Cashewnut,118.5,30.22,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Coconut,7050.45,26430000,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Dry chillies,370.7,877.6,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Dry ginger,200,1800,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,other oilseeds,53.55,34.2,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Sugarcane,128.02,2448.2,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Sweet potato,131.9,700.35,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Tapioca,254.5,1480,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2005,Whole Year,Turmeric,81.7,572,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Kharif,Rice,921.87,2539.64,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Arecanut,2000,2350,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Banana,483,4150,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Black pepper,413.1,20.18,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Cashewnut,79.5,26,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Coconut,3483.09,14190000,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Dry chillies,124.6,34.7,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Dry ginger,100.9,900,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,other oilseeds,24,14.98,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Sugarcane,53.5,999.5,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Sweet potato,30.4,220,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Tapioca,40,160,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2006,Whole Year,Turmeric,10,60,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Autumn,Rice,1595.5,3788,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Autumn,Sugarcane,67.5,402,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Rabi,Arecanut,1912,1900,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Rabi,Arhar/Tur,20.5,13.2,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Rabi,Black pepper,409,98,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Rabi,Cashewnut,15,10.5,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Rabi,Dry chillies,128,148,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Rabi,Dry ginger,94,828.52,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Rabi,Groundnut,15.5,7.6,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Rabi,Maize,73,253,,,,,,,,,
Andaman and Nicobar Islands,South Andamans,2010,Rabi,Moong(Green Gram),29.9,17.85,,,,,,,,,
